player,ETV
Aaron Wan-Bissaka,€26.9M
Aaron Ramsdale,€18.7M
Abdoulaye Doucouré,€5.8M
Adam Armstrong,
Adam Smith,€1.5M
Adam Wharton,€48.9M
Adama Traoré,€8M
Alejandro Garnacho,€60.7M
Alex Iwobi,€30.3M
Alex Palmer,€1.6M
Alexander Isak,€120.3M
Alexis Mac Allister,€106.1M
Alisson,€24.1M
Alphonse Areola,
Amad Diallo,€48.5M
Amadou Onana,€62.1M
Andreas Pereira,€19M
Andrew Robertson,€24M
André Onana,€34.2M
André,€29.8M
Anthony Elanga,€45.5M
Anthony Gordon,€49.5M
Antoine Semenyo,€47.7M
Antonee Robinson,€46.4M
Archie Gray,€58.2M
Arijanet Muric,
Ashley Young,€1.3M
Axel Tuanzebe,€4.2M
Bart Verbruggen,€30.7M
Ben Davies,€5.6M
Ben Johnson,€12.6M
Ben White,
Bernardo Silva,€50M
Bernd Leno,€13.7M
Beto,€24.4M
Bilal El Khannouss,€40.6M
Boubacar Kamara,€46.3M
Boubakary Soumaré,€15.4M
Brennan Johnson,€71.3M
Bruno Guimarães,€83.2M
Bruno Fernandes,€54.8M
Bryan Mbeumo,€57.2M
Bukayo Saka,€101.3M
Caleb Okoli,€16.7M
Callum Hudson-Odoi,€30.2M
Calvin Bassey,€29.9M
Cameron Burgess,€1.7M
Cameron Archer,€18.6M
Carlos Soler,€23.4M
Carlos Baleba,€52.4M
Casemiro,€11.6M
Chris Richards,€15.7M
Chris Wood,€7.8M
Christian Eriksen,€4.2M
Christian Nørgaard,€14.4M
Christopher Nkunku,€51.7M
Cody Gakpo,€67.5M
Cole Palmer,€115.4M
Conor Coady,€2.2M
Craig Dawson,€1.5M
Cristian Romero,€60.1M
Curtis Jones,€61.7M
Daichi Kamada,€14.6M
Dan Burn,€9.1M
Dango Ouattara,€28.5M
Daniel Muñoz,€30.9M
Danny Welbeck,€6M
Dara O'Shea,€19.5M
Darwin Núñez,€60.9M
David Raya,€28.9M
Dean Huijsen,€55M
Dean Henderson,€22.7M
Declan Rice,€107.8M
Dejan Kulusevski,€60.5M
Destiny Udogie,€59.4M
Diogo Dalot,€37.4M
Diogo Jota,€58.6M
Djed Spence,€19.8M
Dominic Calvert-Lewin,€17.8M
Dominic Solanke,€52.1M
Dominik Szoboszlai,€71.4M
Dwight McNeil,€27M
Eberechi Eze,€62.2M
Ederson,€19.1M
Edson Álvarez,€36.5M
Elliot Anderson,€46.5M
Emerson Palmieri,€12.6M
Emile Smith Rowe,€40.8M
Emiliano Martínez,€17.5M
Emmanuel Agbadou,€18M
Enzo Fernández,€73.7M
Erling Haaland,€198.8M
Ethan Pinnock,€7.6M
Evanilson,€26.9M
Ezri Konsa,€42.7M
Fabian Schär,€11M
Facundo Buonanotte,€30.7M
Flynn Downes,€9.2M
Gabriel Martinelli,€62.6M
Gabriel Magalhães,
Georginio Rutter,€41.3M
Guglielmo Vicario,€41.6M
Guido Rodríguez,€13.6M
Harry Maguire,€13.7M
Harry Wilson,€14.5M
Harry Winks,€11.4M
Harvey Barnes,€41.5M
Ian Maatsen,€40.6M
Ibrahima Konaté,€57.2M
Idrissa Gana Gueye,
Igor,
Iliman Ndiaye,€25.7M
Illia Zabarnyi,€58.8M
Ismaila Sarr,
Issa Diop,€17.9M
Jack Stephens,€1.4M
Jack Hinshelwood,€9.2M
Jack Clarke,€19.4M
Jack Harrison,€17.7M
Jacob Ramsey,€45.8M
Jacob Murphy,€17.9M
Jacob Greaves,€25.1M
Jadon Sancho,€37.7M
Jake O'Brien,€19.7M
James Justin,€17M
James Maddison,€58.1M
James Tarkowski,€11.8M
James Garner,€23.2M
Jamie Vardy,€1M
Jan Bednarek,€12.9M
Jan Paul van Hecke,€42.4M
Jannik Vestergaard,€2M
Jarrad Branthwaite,€32.2M
Jarrod Bowen,€48.1M
Jean-Clair Todibo,€36M
Jean-Philippe Mateta,€31.7M
Jean-Ricner Bellegarde,€21.3M
Jefferson Lerma,€13.6M
Jens Cajuste,€15.5M
Jeremy Doku,
Jesper Lindstrøm,€24.4M
Joachim Andersen,€31.4M
Joe Willock,€35.8M
Joe Aribo,€6.9M
Joelinton,€47.5M
John McGinn,€22.5M
Jordan Ayew,€4.2M
Jordan Pickford,€22.6M
Joshua Zirkzee,€43.7M
José Sá,€8.5M
João Pedro,€61.3M
João Gomes,€51.1M
Joël Veltman,€5.7M
Joško Gvardiol,€78.7M
Jurriën Timber,
Justin Kluivert,€44.8M
Jørgen Strand Larsen,€30.8M
Kai Havertz,
Kalvin Phillips,€17.2M
Kamaldeen Sulemana,€18.5M
Kaoru Mitoma,€50.6M
Keane Lewis-Potter,€27.1M
Kenny Tete,€14M
Kepa Arrizabalaga,€12M
Kevin Schade,€29.7M
Kevin De Bruyne,€20.1M
Kieran Trippier,€5.1M
Kobbie Mainoo,€66M
Konstantinos Mavropanos,€19.1M
Kristoffer Ajer,€21.5M
Kyle Walker,
Kyle Walker-Peters,€16.6M
Leandro Trossard,€31.8M
Leif Davis,€28.2M
Leny Yoro,€71M
Leon Bailey,€39.2M
Lesley Ugochukwu,€27M
Levi Colwill,€56.6M
Lewis Hall,€34.5M
Lewis Cook,€19.3M
Lewis Dunk,€7.4M
Liam Delap,€37M
Lisandro Martínez,€49.2M
Lucas Digne,€13.6M
Lucas Paquetá,€71.2M
Lucas Bergvall,€32.6M
Luis Díaz,€71M
Luke Woolfenden,€2M
Mads Roerslev,
Mads Hermansen,€19.8M
Malo Gusto,€32.8M
Manuel Akanji,€42.8M
Manuel Ugarte Ribeiro,
Marc Guéhi,€54.2M
Marc Cucurella,€39.4M
Marcos Senesi,€20.4M
Marcus Tavernier,€24.4M
Marcus Rashford,€53.6M
Mario Lemina,
Mark Flekken,€13.6M
Martin Ødegaard,
Mateo Kovačić,€25.3M
Mateus Fernandes,€22.5M
Matheus Nunes,€42.3M
Matheus Cunha,€62.6M
Matt Doherty,€4.2M
Matthijs de Ligt,€52.2M
Matty Cash,€32.9M
Matz Sels,€9.1M
Max Kilman,€36.7M
Maxence Lacroix,€27.7M
Micky van de Ven,€61.8M
Mikel Merino,€40.5M
Mikkel Damsgaard,€28.6M
Milos Kerkez,
Mohamed Salah,€38.5M
Mohammed Kudus,€61.7M
Moisés Caicedo,€80.7M
Morgan Gibbs-White,€61.7M
Morgan Rogers,€69M
Murillo,€68.4M
Myles Lewis-Skelly,€34.9M
Nathan Collins,€33.3M
Neco Williams,€23.4M
Nick Pope,€11.7M
Nicolas Jackson,€66.2M
Nicolás Domínguez,€18.8M
Nikola Milenković,€38M
Noni Madueke,€51.6M
Noussair Mazraoui,€43M
Nélson Semedo,€8.4M
Ola Aina,€18.8M
Oliver Skipp,€17M
Ollie Watkins,€61.4M
Omar Marmoush,€79.1M
Omari Hutchinson,
Orel Mangala,€24.4M
Pape Matar Sarr,€50.8M
Pau Torres,€45.3M
Paul Onuachu,€12.7M
Pedro Porro,€55.9M
Pedro Neto,€60.6M
Pervis Estupiñán,€37.1M
Phil Foden,€105.7M
Radu Drăgușin,
Rasmus Højlund,
Rayan Aït-Nouri,
Raúl Jiménez,€5.1M
Riccardo Calafiori,
Rico Lewis,€62.7M
Robert Sánchez,€24.9M
Rodrigo Muniz,€8.2M
Rodrigo Bentancur,€31.5M
Ryan Yates,€18.3M
Ryan Christie,€16.2M
Ryan Gravenberch,€85.3M
Ryan Manning,€3.9M
Rúben Dias,€58.5M
Sam Morsy,€1.3M
Sammie Szmodics,€14.1M
Sander Berge,€27.8M
Sandro Tonali,€52.9M
Santiago Bueno,€11.2M
Saša Lukić,€12.1M
Sepp van den Berg,€26.4M
Simon Adingra,€34M
Son Heung-min,
Stefan Ortega,€5.8M
Stephy Mavididi,€12.9M
Sávio,€74.8M
Taylor Harwood-Bellis,€29.9M
Thomas Partey,
Timothy Castagne,€17.4M
Tomáš Souček,€23.2M
Tosin Adarabioyo,€24.3M
Toti Gomes,€18.6M
Trent Alexander-Arnold,€55.8M
Trevoh Chalobah,€20.1M
Tyler Adams,€24.4M
Tyler Dibling,€32.7M
Tyrick Mitchell,€24.6M
Tyrone Mings,€5.8M
Valentino Livramento,€49.3M
Victor Bernth Kristiansen,
Virgil van Dijk,€24.3M
Vitaliy Mykolenko,€33.5M
Vitaly Janelt,€27.1M
Wes Burns,€2.1M
Wesley Fofana,€30.3M
Wilfred Ndidi,€20.3M
Will Hughes,€11.1M
William Saliba,€79.5M
Wout Faes,€25M
Yankuba Minteh,€42.6M
Yasin Ayari,€21.4M
Yehor Yarmoliuk,€18M
Yoane Wissa,€31.4M
Youri Tielemans,€41.5M
Yukinari Sugawara,€15.7M
Yves Bissouma,€29.8M
Álex Moreno,€11M
İlkay Gündoğan,€12.1M
Łukasz Fabiański,€0.9M
